"Poll","Start_Date","End_Date","Number","Type","MoE","Clinton","Trump","Spread"
"BloombergBloomberg",2016-11-04,2016-11-06,799,"LV","3.5",46,43,"Clinton +3"
"IBD/TIPP TrackingIBD/TIPP Tracking",2016-11-04,2016-11-07,1107,"LV","3.1",43,42,"Clinton +1"
"Economist/YouGovEconomist",2016-11-04,2016-11-07,3669,"LV","--",49,45,"Clinton +4"
"LA Times/USC TrackingLA Times",2016-11-01,2016-11-07,2935,"LV","4.5",44,47,"Trump +3"
"ABC/Wash Post TrackingABC/WP Tracking",2016-11-03,2016-11-06,2220,"LV","2.5",49,46,"Clinton +3"
"FOX NewsFOX News",2016-11-03,2016-11-06,1295,"LV","2.5",48,44,"Clinton +4"
"MonmouthMonmouth",2016-11-03,2016-11-06,748,"LV","3.6",50,44,"Clinton +6"
"NBC News/Wall St. JrnlNBC/WSJ",2016-11-03,2016-11-05,1282,"LV","2.7",48,43,"Clinton +5"
"CBS NewsCBS News",2016-11-02,2016-11-06,1426,"LV","3.0",47,43,"Clinton +4"
"Reuters/IpsosReuters",2016-11-02,2016-11-06,2196,"LV","2.3",44,39,"Clinton +5"
"McClatchy/MaristMcClatchy",2016-11-01,2016-11-03,940,"LV","3.2",46,44,"Clinton +2"
"FOX NewsFOX News",2016-11-01,2016-11-03,1107,"LV","3.0",46,45,"Clinton +1"
"NBC News/SMNBC News",2016-10-31,2016-11-06,30145,"LV","1.0",51,44,"Clinton +7"
"Reuters/IpsosReuters",2016-10-31,2016-11-04,2244,"LV","2.2",44,40,"Clinton +4"
"GravisGravis",2016-10-31,2016-10-31,5360,"RV","1.3",50,50,"Tie"
"Reuters/IpsosReuters",2016-10-30,2016-11-03,2021,"LV","2.5",44,39,"Clinton +5"
"Economist/YouGovEconomist",2016-10-30,2016-11-01,1233,"LV","3.2",48,45,"Clinton +3"
"Reuters/IpsosReuters",2016-10-29,2016-11-02,1858,"LV","2.6",45,39,"Clinton +6"
"CBS News/NY TimesCBS/NYT",2016-10-28,2016-11-01,1333,"LV","3.0",47,44,"Clinton +3"
"ABC/Wash Post TrackingABC/WP Tracking",2016-10-27,2016-10-30,1128,"LV","3.0",48,47,"Clinton +1"
"LA Times/USC TrackingLA Times",2016-10-25,2016-10-31,3145,"LV","4.5",43,47,"Trump +4"
"IBD/TIPP TrackingIBD/TIPP Tracking",2016-10-25,2016-10-30,1013,"LV","3.3",45,43,"Clinton +2"
"NBC News/SMNBC News",2016-10-24,2016-10-30,40816,"LV","1.0",51,44,"Clinton +7"
"LA Times/USC TrackingLA Times",2016-10-22,2016-10-28,3248,"LV","4.5",44,46,"Trump +2"
"ABC/Wash Post TrackingABC/WP Tracking",2016-10-23,2016-10-26,1109,"LV","3.0",50,45,"Clinton +5"
"Economist/YouGovEconomist",2016-10-22,2016-10-26,1209,"LV","3.3",49,46,"Clinton +3"
"FOX NewsFOX News",2016-10-22,2016-10-25,1221,"LV","2.5",49,44,"Clinton +5"
"IBD/TIPP TrackingIBD/TIPP Tracking",2016-10-20,2016-10-25,921,"LV","3.3",43,41,"Clinton +2"
"Pew ResearchPew",2016-10-20,2016-10-25,2120,"RV","2.4",50,43,"Clinton +7"
"ABC News TrackingABC News Tracking",2016-10-21,2016-10-24,1119,"LV","3.0",51,43,"Clinton +8"
"CNBCCNBC",2016-10-21,2016-10-24,NA,NA,"--",47,37,"Clinton +10"
"LA Times/USC TrackingLA Times",2016-10-19,2016-10-25,3145,"LV","4.5",44,45,"Trump +1"
"USA Today/SuffolkUSA Today",2016-10-20,2016-10-24,1000,"LV","3.0",49,39,"Clinton +10"
"Associated Press-GfKAP-GfK",2016-10-20,2016-10-24,1212,"LV","--",54,41,"Clinton +13"
"Reuters/IpsosReuters",2016-10-20,2016-10-24,1170,"LV","3.3",43,37,"Clinton +6"
"ABC News TrackingABC News Tracking",2016-10-20,2016-10-23,611,"LV","4.5",53,41,"Clinton +12"
"GravisGravis",2016-10-20,2016-10-23,2109,"RV","2.1",50,50,"Tie"
"CNN/ORCCNN/ORC",2016-10-20,2016-10-23,779,"LV","3.5",51,45,"Clinton +6"
"NBC News/SMNBC News",2016-10-17,2016-10-23,32255,"LV","1.0",50,44,"Clinton +6"
